palabra,significado
a,"énfasis, emoción o confirmación"
akesi,"reptil, anfibio"
ala,"no, ninguno, cero, nada, se usa para hacer preguntas de si-no"
alasa,"cazar, busqueda, intentar, probar"
ali,"todo, abundante, incontable, cada uno, abundancia, vida, universo, 100"
anpa,"debajo, parte inferior, suelo, base, abajo, inclinarse, hacia abajo, humilde, moderado, dependiente"
ante,"diferente, alterado, cambiado, otro"
anu,"o, eleccion, decidir"
awen,"duradero, mantener, proteger, asegurar, esperar, quedarse, continuar, mantener"
e,antes del objeto directo
en,se situa entre varios sujetos
esun,"mercado, tienda, feria, bazar, transacción de dinero"
ijo,"cosa, fenómeno, objeto, materia"
ike,"malo, negativo, no esencial, irrelevante, complicado, complejo"
ilo,"herramienta, implementar, maquina, dispositivo"
insa,"centro, contenido, interior, en medio; organo interno, estómago"
jaki,"desagradable, obsceno, enfermizo, tóxico, sucio, antihigiénico"
jan,"humano, persona, alguien"
jelo,amarillo
jo,"tener, llevar, contener, sostener"
kala,"pescado, animal marino"
kalama,"producir sonido, recitar, decir en voz alta"
kama,"llegar, venir, futuro, invocar, convertirse, lograr, tener éxito en"
kasi,"planta, vegetación, hierba, hoja"
ken,"ser capaz de, estar permitido, poder, ser posible"
kepeken,"usar, con, por medio de"
kili,"fruta, vegetal, seta"
kin,"tambien, además, ademas de {ver a}"
kiwen,"objeto duro, metal, roca, piedra"
ko,"arcilla, masa, semi-solido, pasta, polvo"
kon,"aire, respiración, aliento, esencia, espíritu, realidad paralela, invisible"
kule,"colorido, pigmentado, pintado, relacionado con la comunidad LGBT+"
kulupu,"comunidad, compañía, grupo, nacion, sociedad, tribu"
kute,"oreja, escuchar, oir, prestar atencion, obedecer, atender, atender a"
la,(between the context phrase and the main sentence)
lape,"dormir, descansar"
laso,azul
lawa,"cabeza, mente, control, dirigir, guiar, planear, regular, legislar"
len,"ropa, tela, textil, tapa, capa de privacidad"
lete,"frio, enfriar, crudo"
li,(between any subject except mi alone or sina alone and its verb; also to introduce a new verb for the same subject)
lili,"pequeno, enano, corto, varios, joven"
linja,"objeto largo y flexible, cuerda, pelo, hilo, cable, linea, conexión"
lipu,"objeto plano, libro, documento, carta, papel, website"
loje,rojo
lon,"lugar, presente en, real, verdadero, existir, respuesta afirmativa"
luka,"brazo, mano, organo tactil, cinco, tacto, sentir físicamente, interactuar, presionar"
lukin,"ojo, mirar a, ver, examinar, observar, leer, mirar, buscar, intentar"
lupa,"puerta, agujero, orificio, ventana"
ma,"tierra, pais, exterior, mundo, continente, territorio"
mama,"padre, madre, ancestro, creador, originario, cuidador"
mani,"dinero, ahorros, riqueza, animal grande domesticado"
meli,"mujer, femenino, persona femenina, esposa"
mi,"Yo, mi, nosotros, nosotras"
mije,"hommbre, masculino, persona masculina, marido"
